,Cycle,B1,B2,B3,B4,C1,C2,C3,C4,D1,D2,D3,D4,E1,E2,E3,E4,F1,F2,F3,F4,G1,G2,G3,G4
,1,4381.24178409048,4264.95044391617,4304.47630226601,4510.87089866342,4399.23489795317,4787.09315078812,4436.51209606209,4474.00154171021,4339.56931843226,4454.48298929958,4726.41872516476,4563.01966866551,4723.20567853748,4912.48373519265,4681.16488656066,4732.90752889622,4734.97056183809,4941.8193203113,4682.24849512517,4508.38298523868,4529.09996945366,4585.24272153494,4595.24826240222,4578.77202892121
,2,4542.39031768759,4415.55712380662,4452.60177798099,4650.77843406233,4585.72215549677,4960.10296400328,4591.35333341267,4614.69251126712,4504.5809617873,4608.90494689865,4881.43549957252,4695.02965094578,4851.92982670863,5069.79692133613,4821.72427924005,4875.01514033966,4906.74986480055,5089.17723650232,4837.4906348106,4651.60013944471,4701.90756273483,4771.29699483887,4731.55881182936,4726.7385416118
,3,4622.54362284194,4489.14918121338,4546.4355620253,4720.21375145507,4667.01439602274,5045.87346583556,4667.39332970167,4690.54575766692,4591.89631714861,4675.72887673581,4956.18136266133,4762.65510250898,4915.0541334833,5139.10977107966,4894.04405176535,4958.22777096491,4986.00016079242,5162.9253362287,4918.74090677178,4718.99679527115,4796.43252959614,4844.53186902583,4810.63021774609,4803.36223653863
,4,4703.73941800245,4567.52222395038,4633.19461437926,4815.16637873057,4757.19357434639,5134.96453709366,4749.41883853394,4790.57278979605,4689.62156299491,4767.87307396438,5044.63965116758,4854.48507189857,4988.98388534129,5233.62581170275,4978.12944166115,5058.40011631135,5066.75317299297,5257.89849035623,5013.76295489936,4817.2670891649,4904.06859552001,4906.49195830373,4902.15576078481,4904.3227784032
,5,4790.55013487799,4656.19216887785,4695.34551601407,4919.69641336622,4851.82558235458,5213.18526306323,4829.5634950672,4869.14611642509,4773.08940653557,4849.04654639698,5133.94551890714,4933.95815018449,5058.23623025422,5327.73853291442,5068.25296418174,5157.62142690474,5135.89247597047,5329.51630292514,5105.92865190161,4902.33313260656,4987.56145764479,4982.13230789131,4985.85579215887,4993.57865203733
,6,4860.33487434448,4732.18316053295,4764.6796102885,4997.607804966,4932.34093085048,5284.17767457326,4898.28450717893,4932.44796533662,4840.56285580742,4911.66460474359,5206.74270828994,4993.56603139664,5116.72209281152,5388.81183146706,5139.75422646868,5227.01980506655,5204.19728653941,5404.07444404828,5174.84342036171,4955.15786719585,5054.49931731662,5039.60735965373,5051.69276985068,5060.40817612512
,7,4925.85709328028,4777.06825002242,4808.09212406787,5057.19661603497,4997.65483597027,5338.55159792166,4945.59291422764,4973.78011781938,4882.7982030616,4956.89436516924,5260.5860636358,5028.11933767509,5152.66429614168,5438.16166416863,5183.31293246821,5277.97683423083,5247.51656819463,5438.7816755721,5216.28083739995,5000.8364861013,5109.29611195576,5069.91292515264,5096.58584191825,5107.66734072424
,8,4967.53745703565,4826.83387349495,4836.97810189386,5106.50103218078,5044.33334838271,5381.25797151729,4981.57253757683,4993.20248918839,4930.6075322394,4994.52978147839,5295.78920201447,5057.27854057544,5179.7138795969,5468.95263358691,5214.48923555858,5305.14677420373,5291.54731607578,5482.11415059604,5249.32941432463,5029.99138536612,5147.63231705963,5097.37509827583,5131.07466981995,5137.76806624243
,9,5005.92697241701,4860.48461201591,4859.19787423981,5138.8518606631,5084.16686678019,5407.79158039153,5000.19030358953,5007.89804858498,4957.20784907742,5013.36752924209,5321.28402312237,5073.08498287207,5207.24892007442,5482.80909738116,5236.81704352184,5315.78009938306,5321.93415474463,5494.98365530092,5268.21894613553,5044.49736710154,5181.12072322935,5115.7968282227,5155.79745496808,5162.70814204266
,10,5028.9971574394,4878.78382463075,4877.95863737129,5173.21111034238,5105.28736726894,5426.20277684584,5015.2493315284,5027.17912263616,4982.84009387414,5030.89836275358,5346.29350983193,5087.85247418737,5207.97473365787,5495.42512849466,5244.29375156648,5321.85317455597,5336.31989635403,5508.9981081449,5289.80440441614,5065.88911522575,5202.17428150397,5123.00228622087,5179.0719817795,5179.45194198259
