,Well,Sample,Call,Type,RFU1,RFU2
,C03,,Heterozygote,Auto,2759.62226846794,2457.54962156596
,C04,,Heterozygote,Auto,2744.7309230013,2532.22167607339
,C05,,Heterozygote,Auto,2675.07422836252,2435.27014044371
,C07,,Heterozygote,Auto,2836.09950693704,2572.69986662585
,C08,,Heterozygote,Auto,2763.27166807457,2510.8793679762
,C09,,Heterozygote,Auto,2737.96312785108,2490.48925482246
,D03,,Heterozygote,Auto,2735.36462567394,2511.67276655205
,D04,,Heterozygote,Auto,2788.89895629169,2559.24246858568
,D05,,Heterozygote,Auto,2766.64704115119,2544.6395545235
,D07,,Heterozygote,Auto,2776.49329576925,2546.43407510905
,D08,,Heterozygote,Auto,2794.49867831343,2541.34711194911
,D09,,Heterozygote,Auto,2794.98675184232,2558.48956102756
,E03,,Heterozygote,Auto,2754.53196580845,2532.5678817872
,E04,,Heterozygote,Auto,2725.17329963355,2502.23680402769
,E05,,Heterozygote,Auto,2775.8037332814,2559.59165029085
,E07,,Heterozygote,Auto,2805.70563679235,2634.54523518373
,E08,,Heterozygote,Auto,2796.44427394513,2534.9364167681
,E09,,Heterozygote,Auto,2675.76734717712,2489.16595556021
,F03,,Heterozygote,Auto,2803.89932810469,2551.65559027436
,F04,,Heterozygote,Auto,2770.56412471774,2522.37847698967
,F05,,Heterozygote,Auto,2788.90523221069,2560.43299694232
,F07,,Heterozygote,Auto,2886.61643121547,2615.19639065185
,F08,,Heterozygote,Auto,2841.29423537142,2559.79250383135
,F09,,Heterozygote,Auto,2771.13046560684,2537.81488771528
