,Cycle,C3,C4,C5,C7,C8,C9,D3,D4,D5,D7,D8,D9,E3,E4,E5,E7,E8,E9,F3,F4,F5,F7,F8,F9
,1,2815.14777753962,2810.98988576279,2725.93379812888,2904.4457964762,2826.28975091749,2796.7561693224,2817.2910167969,2875.39592290727,2851.36106669073,2858.23074314679,2879.54129775461,2881.0289159222,2870.4708995069,2833.18188150867,2891.86007061575,2924.86327505426,2914.84475458704,2765.8606066337,2939.1705112292,2913.92490827654,2935.88457575306,3039.06554433798,2978.61691248509,2904.79149774384
,2,2824.51599149811,2816.97546362361,2730.05127604095,2908.42510651673,2833.24317135857,2803.48335694933,2824.43482118974,2878.90643930275,2859.00314275261,2863.66403665901,2885.29768393212,2886.43987293646,2886.98280602355,2849.00053736917,2906.59257259527,2940.61465447509,2927.98014767003,2775.4015619837,2966.5354666741,2934.56989520708,2959.48886363742,3070.66059562263,3006.75051171149,2927.98974631912
,3,2824.9622436076,2818.27040666308,2733.74881008065,2912.81552032906,2828.06180028482,2805.12515259877,2824.09286022793,2883.4746811428,2862.69597788601,2864.51121189992,2891.09059262111,2890.42304270182,2893.54076582847,2854.51481481168,2916.38630880885,2940.8877247513,2937.73324892736,2784.78756992855,2967.00932553053,2941.61436661179,2963.09400639449,3073.12923644237,3016.02373255861,2940.8073027537
,4,2827.81427417292,2816.82765524873,2732.86331498818,2909.18710265367,2835.31558306895,2803.7736990166,2829.13097346217,2882.78952934257,2867.09219908775,2869.54971406248,2892.25887129923,2892.38634830702,2891.94283015265,2854.21480122794,2917.32341813769,2945.85771682388,2933.63945068238,2790.11230257447,2969.16997316824,2938.16910679761,2968.85978605605,3070.78849192534,3016.1991016305,2938.82551541629
,5,2824.85806316984,2822.67337462033,2730.49225442249,2916.16374565566,2833.16476032962,2805.81421699736,2828.95183282669,2880.24358528743,2863.10089458559,2870.47868452227,2891.90639968391,2892.71848011704,2893.01861100997,2852.17189202629,2917.44015498343,2945.8950887972,2937.66714004022,2786.3792207777,2968.46954555147,2933.61953230403,2963.63174404344,3067.26082138781,3019.62664297844,2938.40185152532
,6,2823.50896260415,2813.42705920208,2730.62445910594,2914.29735746588,2834.40399760926,2806.346774655,2830.2341132772,2884.36686877242,2869.42582112198,2872.07285001715,2893.82243065788,2893.51116737882,2891.49892447571,2856.06532752576,2911.95391770609,2943.78629174494,2935.60948425792,2788.32537362429,2966.95783013705,2937.94284583655,2965.37781457091,3070.99848381753,3016.10372763893,2937.45877472764
,7,2821.89604258269,2816.13663293186,2736.29138828771,2911.10454907752,2831.53705430462,2802.48732578224,2827.25495991293,2881.03983174998,2866.28563338153,2872.14971620104,2894.14062012549,2891.84082420264,2892.12638462295,2859.30963122653,2914.62998491668,2944.07274982626,2936.65842046759,2783.5002837378,2969.87101143771,2936.52259714487,2963.42048903611,3070.17641278368,3010.63529553446,2936.28899977742
,8,2819.00526377984,2816.42343676708,2731.53876176593,2911.97918848573,2835.68594687272,2804.78374084532,2830.94240607769,2887.60097865744,2864.27511965639,2871.03206281571,2890.65383112419,2893.3419054375,2890.28676591597,2850.17390843083,2916.37904486968,2943.438268723,2939.65138238933,2785.83290428857,2970.40640636533,2937.11234713689,2965.42480700596,3068.37671371982,3016.97670446455,2943.3402184556
,9,2826.84060954818,2813.15195065137,2733.38944758991,2911.93171060431,2833.24950532006,2804.94108376525,2826.90077359784,2882.93236356234,2864.55916658674,2872.95277545956,2893.37133201291,2896.25502443668,2893.28594350551,2855.75546917552,2911.83012119171,2941.77023563908,2937.51062314799,2782.51803333585,2968.1642963136,2939.48244436845,2963.94829692605,3071.68839960497,3013.01926061897,2939.68742353906
,10,2826.4234476063,2821.47327469897,2730.9233511583,2910.8416228671,2836.8224164099,2807.19654161922,2831.21133261886,2884.30583633311,2869.30535077475,2873.1726140227,2894.4765710641,2893.19649266651,2892.60599193587,2856.50364251678,2914.50983692113,2944.20312148568,2932.58477370001,2784.72809375489,2972.71001573492,2937.00262113798,2962.30589763558,3073.71758409565,3016.17017285766,2938.06412977671
